ticker,chunk,raw,norm,conviction,layer,industry,momentum,flow,real_fields,data_source
AIT,1,5.0,4.19,C,9,,,neutral,0,polygon
AIV,3,5.0,4.09,C,9,,,neutral,0,finnhub
AIXA.DE,3,5.19,5.1,B,2,Semiconductor Equipment & Materials,-0.8,neutral,6,simulated
AIXC,1,5.0,4.19,C,9,,,neutral,0,polygon
AIXI,3,5.0,4.09,C,9,,,neutral,0,simulated
AIZ,1,5.0,4.19,C,9,,,neutral,0,polygon
AJG,1,5.0,4.19,C,9,,,neutral,0,finnhub
AJINY,3,5.0,4.09,C,9,,,neutral,0,simulated
AKAM,1,5.65,8.46,A,7,Software - Infrastructure,-22.5,low_volume,8,polygon
AKAN,1,6.33,10.0,A,9,Drug Manufacturers - Specialty & Generic,-83.1,dark_pool_buying,7,polygon
ALAB,3,5.44,6.43,B,2,Semiconductors,0.0,elevated_volume,8,simulated
ALB,1,5.0,4.19,C,9,,,neutral,0,finnhub
ALC,1,5.0,4.19,C,9,,,neutral,0,finnhub
ALCO,1,5.08,4.72,A,9,Farm Products,,neutral,7,polygon
ALCY,1,5.09,4.78,A,9,Shell Companies,-23.2,low_volume,6,polygon
ALDF,3,5.0,4.09,C,9,,,neutral,0,simulated
ALF,1,5.0,4.19,C,9,,,neutral,0,polygon
ALFUU,3,6.03,9.58,B,9,Shell Companies,-9.8,dark_pool_buying,4,polygon
ALGN,1,5.0,4.19,C,9,,,neutral,0,polygon
ALHC,3,5.0,4.09,C,9,,,neutral,0,finnhub
ALISU,1,5.0,4.19,C,9,,,neutral,0,polygon
ALIT,1,5.0,4.19,C,9,,,neutral,0,finnhub
ALKS,1,5.0,4.19,C,9,,,neutral,0,polygon
ALKT,3,6.51,10.0,A,5,Software - Application,-52.4,neutral,7,polygon
ALL,2,5.0,3.98,C,9,,,neutral,0,simulated
ALLE,1,5.23,5.7,A,9,Security & Protection Services,,neutral,7,polygon
ALLR,1,4.94,3.8,A,9,Biotechnology,-27.4,neutral,5,finnhub
ALLY,1,5.52,7.6,A,3,Credit Services,,neutral,6,finnhub
ALMU,1,5.0,4.19,C,9,,,neutral,0,polygon
ALNT,1,5.0,4.19,C,9,,,neutral,0,finnhub
ALNY,1,5.0,4.19,C,9,,,neutral,0,polygon
ALOVW,3,5.0,4.09,C,9,,,neutral,0,simulated
ALOY,1,5.0,4.19,C,9,,,neutral,0,polygon
ALRS,2,5.0,3.98,C,9,,,neutral,0,simulated
ALTI,3,5.96,9.2,B,9,Asset Management,-44.3,neutral,7,simulated
ALVO,3,5.0,4.09,C,9,,,neutral,0,simulated
ALX,3,5.0,4.09,C,9,,,neutral,0,finnhub
ALXO,3,5.95,9.15,A,9,Biotechnology,-41.2,dark_pool_buying,7,polygon
AMAT,1,5.24,5.77,A,2,Semiconductor Equipment & Materials,0.0,neutral,7,finnhub
AMBA,3,5.41,6.27,C,2,,,neutral,0,simulated
AMBR,1,5.0,4.19,C,9,,,neutral,0,polygon
AMC,1,5.0,4.19,C,9,,,neutral,0,polygon
AMCI,1,5.0,4.19,C,9,,,neutral,0,polygon
AMD,1,5.54,7.74,A,2,Semiconductors,-1.8,neutral,7,polygon
AME,1,5.31,6.23,A,9,Specialty Industrial Machinery,,neutral,7,finnhub
AMGN,1,5.0,4.19,C,9,,,neutral,0,polygon
AMIX,1,5.0,4.19,C,9,,,neutral,0,polygon
AMKR,3,5.0,4.09,C,9,,,neutral,0,simulated
AMLX,3,5.0,4.09,C,9,,,neutral,0,finnhub
AMN,1,4.67,2.03,A,9,Medical Care Facilities,,neutral,7,polygon
AMOD,1,5.0,4.19,C,9,,,neutral,0,polygon
AMPG,3,5.0,4.09,C,9,,,neutral,0,simulated
AMPGZ,2,5.0,3.98,C,9,,,neutral,0,simulated
AMPH,3,5.0,4.09,C,9,,,neutral,0,simulated
AMPY,1,5.74,9.05,A,1,Oil & Gas E&P,-37.7,neutral,7,polygon
AMRC,3,5.0,4.09,C,9,,,neutral,0,simulated
AMRX,1,5.0,4.19,C,9,,,neutral,0,polygon
AMST,1,5.83,9.64,A,5,Software - Application,,low_volume,7,polygon
AMT,1,5.0,4.19,C,9,,,neutral,0,polygon
AMTM,1,5.0,4.19,C,9,,,neutral,0,polygon
AMTX,1,5.0,4.19,C,9,,,neutral,0,finnhub
AMWD,3,5.0,4.09,C,9,,,neutral,0,finnhub
AMX,1,5.0,4.19,C,9,,,neutral,0,finnhub
AMZN,1,5.41,6.88,C,5,,,neutral,0,finnhub
AN,2,5.0,3.98,C,9,,,neutral,0,simulated
ANDE,2,5.23,5.32,B,9,Food Distribution,-10.3,neutral,6,simulated
ANDG,3,5.2,5.15,B,9,Personal Services,-7.2,neutral,6,simulated
ANET,1,5.35,6.49,C,3,,,neutral,0,polygon
ANIK,1,5.0,4.19,C,9,,,neutral,0,polygon
ANIP,3,5.51,6.8,A,9,Drug Manufacturers - Specialty & Generic,-19.6,neutral,7,finnhub
ANY,1,5.0,4.19,C,9,,,neutral,0,polygon
AOMD,1,5.59,8.06,A,9,,,elevated_volume,5,polygon
AOMN,3,5.0,4.09,C,9,,,neutral,0,simulated
AON,1,5.0,4.19,C,9,,,neutral,0,polygon
AOS,1,5.23,5.7,A,9,Specialty Industrial Machinery,,neutral,6,polygon
AOSL,3,5.18,5.05,A,2,Semiconductors,-9.9,neutral,6,finnhub
AOUT,1,5.51,7.54,A,9,Leisure,,neutral,6,polygon
APA,1,5.0,4.19,C,9,,,neutral,0,finnhub
APAC,3,5.0,4.09,C,9,,,neutral,0,finnhub
APC,1,5.0,4.19,C,9,,,neutral,0,polygon
APD,1,5.0,4.19,C,9,,,neutral,0,polygon
APEI,1,5.0,4.19,C,9,,,neutral,0,polygon
APGE,3,5.0,4.09,C,9,,,neutral,0,polygon
APH,1,5.0,4.19,C,9,,,neutral,0,finnhub
API,1,5.0,4.19,C,9,,,neutral,0,finnhub
APLD,1,5.35,6.49,C,3,,,neutral,0,finnhub
APLE,1,4.82,3.01,A,9,REIT - Hotel & Motel,,neutral,6,polygon
APLMW,1,5.0,4.19,C,9,,,neutral,0,polygon
APP,1,5.35,6.49,C,6,,,neutral,0,polygon
APPN,1,5.41,6.88,A,6,Software - Infrastructure,,neutral,7,polygon
APTV,1,5.0,4.19,C,9,,,neutral,0,polygon
AQMS,3,5.61,7.34,A,9,Waste Management,-88.9,neutral,6,polygon
AR,1,5.73,8.98,A,1,Oil & Gas E&P,-26.4,neutral,7,polygon
ARAI,3,5.76,8.14,A,9,Scientific & Technical Instruments,-96.1,low_volume,6,polygon
ARAY,1,5.0,4.19,C,9,,,neutral,0,polygon
ARCI,3,5.0,4.09,C,9,,,neutral,0,simulated
ARCIU,3,4.8,3.02,A,9,Shell Companies,0.0,low_volume,6,polygon
ARCIW,1,5.0,4.19,C,9,,,neutral,0,finnhub
ARCLU,1,5.0,4.19,C,9,,,neutral,0,polygon
ARCO,3,5.0,4.09,A,9,Restaurants,-10.0,neutral,7,polygon
ARDC,1,5.0,4.19,C,9,,,neutral,0,polygon
ARDX,1,5.77,9.24,A,9,Biotechnology,-24.3,elevated_volume,7,polygon
ARE,1,4.85,3.21,A,9,REIT - Office,,neutral,7,polygon
AREN,1,5.0,4.19,C,9,,,neutral,0,polygon
ARGX,1,5.0,4.19,C,9,,,neutral,0,finnhub
ARKO,1,5.23,5.7,A,9,Specialty Retail,,neutral,6,polygon
ARLO,1,5.0,4.19,C,9,,,neutral,0,finnhub
ARM,1,5.8,9.44,A,2,Semiconductors,0.0,elevated_volume,8,polygon
AROW,3,5.72,7.92,A,9,Banks - Regional,-2.7,dark_pool_buying,7,polygon
ARQQ,3,5.0,4.09,C,9,,,neutral,0,simulated
ARQQW,3,5.0,4.09,C,9,,,neutral,0,simulated
ARR,1,5.37,6.62,A,9,REIT - Mortgage,-6.1,elevated_volume,6,polygon
ARTL,3,5.0,4.09,C,9,,,neutral,0,simulated
ARTNA,1,5.0,4.19,C,9,,,neutral,0,polygon
ARTV,1,5.0,4.19,C,9,,,neutral,0,polygon
ARW,1,5.0,4.19,C,9,,,neutral,0,finnhub
ASA,2,5.7,8.07,B,9,Asset Management,-27.1,elevated_volume,6,simulated
ASBA,3,5.31,5.74,B,9,,-0.0,neutral,4,simulated
ASBP,3,5.0,4.09,C,9,,,neutral,0,simulated
ASC,3,5.0,4.09,C,9,,,neutral,0,finnhub
ASG,1,5.0,4.19,C,9,,,neutral,0,finnhub
ASGI,1,5.0,4.19,C,9,,,neutral,0,polygon
ASIC,3,5.0,4.09,C,9,,,neutral,0,polygon
ASMB,1,5.68,8.65,A,9,Biotechnology,,neutral,6,finnhub
ASMIY,3,5.39,6.16,B,2,Semiconductor Equipment & Materials,0.0,neutral,5,simulated
ASML,1,5.41,6.88,C,2,,,neutral,0,polygon
ASPC,1,5.0,4.19,C,9,,,neutral,0,finnhub
ASPI,3,5.76,8.14,B,9,Chemicals,-48.9,neutral,7,simulated
ASPSW,1,4.87,3.34,A,9,,,elevated_volume,7,polygon
ASR,2,5.0,3.98,C,9,,,neutral,0,simulated
ASST,1,5.0,4.19,C,9,,,neutral,0,polygon
ASTC,1,6.16,10.0,A,9,Scientific & Technical Instruments,-72.6,low_volume,8,polygon
ASTE,3,5.0,4.09,C,9,,,neutral,0,finnhub
ASTH,1,5.0,4.19,C,9,,,neutral,0,polygon
ASTI,3,5.0,4.09,C,9,,,neutral,0,simulated
ASTS,1,5.0,4.19,C,9,,,neutral,0,polygon
ASX,3,5.0,4.09,C,9,,,neutral,0,simulated
ASYS,1,5.0,4.19,C,9,,,neutral,0,polygon
ATAT,2,5.0,3.98,C,9,,,neutral,0,simulated
ATEC,1,5.0,4.19,C,9,,,neutral,0,finnhub
ATEX,1,5.0,4.19,C,9,,,neutral,0,finnhub
ATEYY,3,5.0,4.09,C,9,,,neutral,0,simulated
ATHE,1,5.0,4.19,C,9,,,neutral,0,finnhub
ATHS,3,5.0,4.09,C,9,,,neutral,0,finnhub
ATI,3,4.82,3.13,B,9,Metal Fabrication,0.0,neutral,6,simulated
ATKR,3,5.0,4.09,C,9,,,neutral,0,simulated
ATLCL,3,4.9,3.55,B,9,,0.0,neutral,4,simulated
ATLCZ,1,5.0,4.19,C,9,,,neutral,0,polygon
ATLN,3,6.51,10.0,B,9,Staffing & Employment Services,-89.1,dark_pool_buying,8,simulated
ATO,1,5.0,4.19,C,9,,,neutral,0,polygon
ATOM,1,5.0,4.19,C,9,,,neutral,0,polygon
ATR,1,5.0,4.19,C,9,,,neutral,0,polygon
ATRC,3,5.0,4.09,C,9,,,neutral,0,finnhub
ATRO,3,5.43,6.38,A,9,Aerospace & Defense,-8.6,elevated_volume,8,finnhub
ATS,1,5.0,4.19,C,9,,,neutral,0,polygon
ATYR,1,5.0,4.19,C,9,,,neutral,0,finnhub
AUB,3,5.28,5.58,A,9,Banks - Regional,-4.5,neutral,6,polygon
AUDC,3,5.52,6.86,A,3,Communication Equipment,-11.8,neutral,6,polygon
AUGO,3,5.0,4.09,C,9,,,neutral,0,finnhub
AUPH,3,5.13,4.78,B,9,Biotechnology,0.0,neutral,7,simulated
AUR,1,5.45,7.15,A,9,Auto Parts,-25.2,neutral,6,polygon
AVA,1,5.76,9.18,A,1,Utilities - Diversified,,elevated_volume,8,polygon
AVAH,3,5.34,5.9,A,9,Medical Care Facilities,-24.1,neutral,7,finnhub
AVGO,1,5.41,6.88,C,2,,,neutral,0,polygon
AVIR,1,5.0,4.19,C,9,,,neutral,0,polygon
AVNT,1,5.0,4.19,C,9,,,neutral,0,polygon
AVNW,3,5.0,4.09,C,9,,,neutral,0,simulated
AVR,1,5.0,4.19,C,9,,,neutral,0,finnhub
AVT,1,5.0,4.19,C,9,,,neutral,0,finnhub
AVTR,1,5.0,4.19,C,9,,,neutral,0,finnhub
AVTX,1,5.0,4.19,C,9,,,neutral,0,polygon
AVX,1,5.45,7.15,A,4,Software - Infrastructure,,low_volume,8,polygon
AVY,1,5.0,4.19,C,9,,,neutral,0,polygon
AWF,3,5.0,4.09,C,9,,,neutral,0,polygon
AWI,1,5.0,4.19,C,9,,,neutral,0,polygon
AWK,1,5.77,9.24,A,1,Utilities - Regulated Water,,neutral,7,finnhub
AWP,1,5.08,4.72,A,9,Asset Management,,neutral,6,finnhub
AWRE,1,5.0,4.19,C,9,,,neutral,0,polygon
AX,1,5.15,5.18,A,9,Banks - Regional,,neutral,6,polygon
AXINU,1,5.0,4.19,C,9,,,neutral,0,finnhub
AXON,1,5.0,4.19,C,9,,,neutral,0,polygon
AXP,1,5.52,7.6,A,3,Credit Services,-11.7,neutral,6,polygon
AXS,1,4.84,3.14,A,9,Insurance - Specialty,,neutral,6,finnhub
AXSM,1,5.0,4.19,C,9,,,neutral,0,polygon
AXT,3,5.0,4.09,C,9,,,neutral,0,simulated
AXTA,3,5.0,4.09,C,9,,,neutral,0,simulated
AXTI,3,5.62,7.39,B,2,Semiconductor Equipment & Materials,-39.9,neutral,7,simulated
AYI,3,5.0,4.09,C,9,,,neutral,0,simulated
AZ,3,5.0,4.09,C,9,,,neutral,0,simulated
AZI,2,5.0,3.98,C,9,,,neutral,0,simulated
AZO,1,5.28,6.03,A,9,Auto Parts,,elevated_volume,8,polygon
AZTA,3,5.0,4.09,C,9,,,neutral,0,simulated
AZZ,1,5.0,4.19,C,9,,,neutral,0,polygon
BA,1,5.23,5.7,A,9,Aerospace & Defense,-11.7,neutral,7,finnhub
BABA,1,5.0,4.19,C,9,,,neutral,0,polygon
BAC,1,5.0,4.19,C,9,,,neutral,0,finnhub
BAER,3,5.0,4.09,C,9,,,neutral,0,finnhub
BAERW,1,5.0,4.19,C,9,,,neutral,0,polygon
BAH,3,5.76,8.14,B,9,Consulting Services,-41.2,neutral,7,simulated
BAK,3,5.0,4.09,C,9,,,neutral,0,finnhub
BALL,1,5.0,4.19,C,9,,,neutral,0,polygon
BAM,1,5.0,4.19,C,9,,,neutral,0,polygon
BANC,1,5.0,4.19,C,9,,,neutral,0,finnhub
BAND,3,5.0,4.09,C,9,,,neutral,0,simulated
BANR,3,5.0,4.09,C,9,,,neutral,0,polygon
BANX,1,4.93,3.73,A,9,Asset Management,,neutral,6,polygon
BAP,1,4.75,2.55,A,9,Banks - Regional,,neutral,6,polygon
BATL,1,5.0,4.19,C,9,,,neutral,0,polygon
BATRA,1,5.0,4.19,C,9,,,neutral,0,polygon
BAX,1,5.0,4.19,C,9,,,neutral,0,polygon
BAYAR,3,5.0,4.09,C,9,,,neutral,1,polygon
BB,3,5.4,6.22,A,4,Software - Infrastructure,-19.0,low_volume,8,polygon
BBAI,1,6.19,10.0,A,5,Information Technology Services,-56.0,low_volume,7,polygon
BBAR,1,4.51,0.98,A,9,Banks - Regional,0.0,neutral,5,polygon
BBCP,3,5.0,4.09,C,9,,,neutral,0,polygon
BBLGW,1,5.0,4.19,C,9,,,neutral,0,finnhub
BBNX,3,6.18,10.0,B,9,Medical Devices,-56.6,elevated_volume,8,simulated
BBT,3,5.0,4.09,C,9,,,neutral,0,polygon
BBW,3,5.0,4.09,C,9,,,neutral,0,polygon
BBY,1,5.0,4.19,C,9,,,neutral,0,finnhub
BCAB,1,4.75,2.55,A,9,Biotechnology,,neutral,5,polygon
BCAL,1,5.22,5.64,A,9,Banks - Regional,,elevated_volume,7,finnhub
BCDA,1,5.0,4.19,C,9,,,neutral,0,polygon
BCGWW,1,4.67,2.03,B,9,,0.0,neutral,4,polygon
BCH,1,5.0,4.19,C,9,,,neutral,0,polygon
BCHT,1,5.27,5.96,A,9,Pollution & Treatment Controls,,elevated_volume,8,polygon
BCIC,3,5.47,6.59,A,9,Asset Management,-41.0,neutral,6,finnhub
BCML,1,5.28,6.03,A,9,Banks - Regional,,elevated_volume,7,polygon
BCSF,1,5.08,4.72,A,9,Asset Management,,neutral,5,polygon
BCTXL,3,5.0,4.09,C,9,,,neutral,0,simulated
BCV,1,5.0,4.19,C,9,,,neutral,0,polygon
BCX,1,5.0,4.19,C,9,,,neutral,0,finnhub
BDC,2,5.0,3.98,C,9,,,neutral,0,simulated
BDCI,3,5.0,4.09,C,9,,,neutral,0,simulated
BDL,3,5.02,4.19,A,9,Restaurants,0.0,elevated_volume,8,polygon
BDSX,3,5.0,4.09,C,9,,,neutral,0,finnhub
BDX,1,5.0,4.19,C,9,,,neutral,0,finnhub
BE,1,5.35,6.49,C,1,,,neutral,0,finnhub
BEAM,1,5.0,4.19,C,9,,,neutral,0,polygon
BEBE,3,4.58,1.85,B,9,Shell Companies,0.0,low_volume,6,simulated
BEEM,1,6.03,10.0,A,1,Solar,-64.7,elevated_volume,8,polygon
BEEP,3,5.0,4.09,C,9,,,neutral,0,simulated
BELFA,3,5.8,8.35,B,2,Electronic Components,-1.8,elevated_volume,8,simulated
BEN,1,5.0,4.19,C,9,,,neutral,0,polygon
BEP,1,5.0,4.19,C,9,,,neutral,0,polygon
BEPI,1,5.31,6.23,B,9,,,neutral,4,polygon
BEPJ,2,5.0,3.98,C,9,,,neutral,0,simulated
BESIY,3,5.33,5.84,B,2,Semiconductor Equipment & Materials,-0.4,neutral,6,simulated
BETR,1,5.0,4.19,C,9,,,neutral,0,polygon
BFRG,3,5.0,4.09,C,9,,,neutral,0,simulated
BFRGW,1,5.0,4.19,C,9,,,neutral,0,finnhub
BFRI,1,5.0,4.19,C,9,,,neutral,0,finnhub
BFRIW,3,4.57,1.79,A,9,,-4.5,neutral,6,polygon
BFST,1,5.0,4.19,C,9,,,neutral,0,polygon
BGB,3,5.0,4.09,C,9,,,neutral,0,simulated
BGC,3,5.0,4.09,C,9,,,neutral,0,polygon
BGL,3,5.0,4.09,C,9,,,neutral,0,polygon
BGLC,1,4.73,2.42,A,9,Specialty Chemicals,,low_volume,8,polygon
BGM,3,5.0,4.09,C,9,,,neutral,0,finnhub
BGS,3,5.45,6.48,A,9,Packaged Foods,-31.2,neutral,6,polygon
BGSI,3,5.0,4.09,C,9,,,neutral,0,polygon
BGT,2,5.0,3.98,C,9,,,neutral,0,simulated
BH,3,5.0,4.09,C,9,,,neutral,0,simulated
BHAV,3,5.0,4.09,C,9,,,neutral,0,finnhub
BHE,3,5.0,4.09,C,9,,,neutral,0,simulated
BHF,1,5.05,4.52,A,9,Insurance - Life,,neutral,6,finnhub
BHFAL,1,5.31,6.23,B,9,,,neutral,4,polygon
BHFAM,1,4.85,3.21,A,9,Insurance - Life,,neutral,6,polygon
BHFAP,3,4.6,1.95,A,9,Insurance - Life,-16.8,neutral,6,polygon
BHK,1,5.0,4.19,C,9,,,neutral,0,polygon
